location,info,work_time,pay,reg_date
부산 동래구,[메가마트동래점]상품진열단기파트사원모집,08:00~22:00,"시급9,000",1시간전
경기 수원시,삼성전자(수원)사업장 내 테이크아웃 매장 사원 채용,15:00~18:00,"시급8,720",4시간전
부산 동래구,[메가마트동래점]상품진열보조원 모집,08:00~22:00,"시급8,720",4시간전
서울 송파구,메가마켓 방이점 파트사원 모집,시간협의,"시급8,720",05/05
충남 천안시,"[시급10,000원]메가도매센터 천안점 파트 모집",10:00~21:00,"시급10,000",05/03
충남 아산시,삼성디스플레이 아산2캠퍼스 카페,07:30~16:00,"시급8,720",04/26
